Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_Group,Attrition_Flag_Original,Attrition_Flag_Existing Customer
41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028.0,21,1.625,0.095,Middle-aged,Existing Customer,1
61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336.0,30,1.143,0.788,Older,Existing Customer,1
45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207.0,21,0.909,0.08,Middle-aged,Existing Customer,1
47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178.0,27,0.929,0.086,Middle-aged,Existing Customer,1
62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692.0,16,0.6,0.0,Older,Attrited Customer,0
41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931.0,18,1.571,0.152,Middle-aged,Existing Customer,1
47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126.0,23,0.353,0.626,Middle-aged,Existing Customer,1
54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110.0,21,0.75,0.0,Middle-aged,Existing Customer,1
41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051.0,22,0.833,0.215,Middle-aged,Existing Customer,1
59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197.0,23,1.3,0.093,Older,Existing Customer,1
63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904.0,40,1.0,0.099,Older,Existing Customer,1
44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052.0,18,1.571,0.0,Middle-aged,Existing Customer,1
47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045.0,38,0.9,0.285,Middle-aged,Existing Customer,1
53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038.0,25,2.571,0.658,Middle-aged,Existing Customer,1
53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596.0,26,1.6,0.69,Middle-aged,Existing Customer,1
41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589.0,24,1.667,0.282,Middle-aged,Existing Customer,1
53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411.0,28,1.0,0.562,Middle-aged,Existing Customer,1
58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291.0,24,0.714,0.135,Older,Existing Customer,1
55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407.0,43,0.483,0.544,Middle-aged,Existing Customer,1
55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877.0,37,1.176,0.757,Middle-aged,Existing Customer,1
42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966.0,22,1.2,0.0,Middle-aged,Existing Customer,1
57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464.0,28,0.556,0.241,Older,Existing Customer,1
66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704.0,16,0.143,0.077,Older,Attrited Customer,0
45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,23836.25,578,31848.0,1.042,1109.0,28,0.474,0.018,Middle-aged,Existing Customer,1
51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347.0,28,0.556,0.355,Middle-aged,Existing Customer,1
50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756.0,33,1.2,0.145,Middle-aged,Existing Customer,1
49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756.0,32,1.0,0.0,Middle-aged,Existing Customer,1
38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042.0,23,0.917,0.209,Middle-aged,Existing Customer,1
49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,23836.25,0,34516.0,1.621,1444.0,28,1.333,0.0,Middle-aged,Existing Customer,1
56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741.0,27,0.588,0.626,Older,Existing Customer,1
59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719.0,27,1.7,0.793,Older,Existing Customer,1
46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217.0,27,0.8,0.074,Middle-aged,Existing Customer,1
52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140.0,40,0.6,0.259,Middle-aged,Existing Customer,1
52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878.0,30,1.143,0.591,Middle-aged,Existing Customer,1
54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705.0,19,0.9,0.562,Middle-aged,Attrited Customer,0
66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946.0,38,1.923,0.687,Older,Existing Customer,1
49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414.0,35,0.25,0.127,Middle-aged,Existing Customer,1
56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602.0,15,0.364,0.0,Older,Attrited Customer,0
49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052.0,32,0.6,0.667,Middle-aged,Existing Customer,1
49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295.0,40,0.6,0.843,Middle-aged,Existing Customer,1
56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424.0,29,1.417,0.422,Older,Existing Customer,1
44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359.0,25,1.083,0.156,Middle-aged,Existing Customer,1
42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168.0,27,1.25,0.525,Middle-aged,Existing Customer,1
55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097.0,33,0.833,0.587,Middle-aged,Existing Customer,1
48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,23836.25,0,34516.0,0.763,691.0,15,0.5,0.0,Middle-aged,Attrited Customer,0
39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316.0,28,1.154,0.211,Middle-aged,Existing Customer,1
44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23836.25,2102,21855.0,0.997,1276.0,26,0.733,0.088,Middle-aged,Existing Customer,1
53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289.0,23,0.917,0.111,Middle-aged,Existing Customer,1
51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,23836.25,1515,33001.0,0.592,1293.0,32,0.6,0.044,Middle-aged,Existing Customer,1
57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353.0,35,0.667,0.276,Older,Existing Customer,1
44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132.0,28,0.556,0.704,Middle-aged,Existing Customer,1
49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670.0,17,2.4,0.656,Middle-aged,Existing Customer,1
50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,23836.25,1330,23970.0,1.072,837.0,15,2.0,0.053,Middle-aged,Existing Customer,1
51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,23836.25,1763,32753.0,1.266,1550.0,41,1.05,0.051,Middle-aged,Existing Customer,1
55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540.0,36,0.286,0.467,Middle-aged,Existing Customer,1
54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256.0,21,0.4,0.698,Middle-aged,Existing Customer,1
42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394.0,35,0.522,0.067,Middle-aged,Existing Customer,1
44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,23836.25,1932,22380.0,1.312,1341.0,24,1.182,0.079,Middle-aged,Existing Customer,1
53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289.0,33,0.435,0.287,Middle-aged,Existing Customer,1
44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112.0,23,1.875,0.36,Middle-aged,Existing Customer,1
37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339.0,57,0.966,0.256,Middle-aged,Existing Customer,1
49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468.0,23,0.353,0.719,Middle-aged,Existing Customer,1
47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,23836.25,1899,27005.0,0.85,1334.0,35,0.4,0.066,Middle-aged,Existing Customer,1
47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457.0,41,1.412,0.198,Middle-aged,Existing Customer,1
44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,23836.25,1533,32983.0,0.924,1603.0,29,0.526,0.044,Middle-aged,Existing Customer,1
55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615.0,12,0.714,0.0,Middle-aged,Attrited Customer,0
59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068.0,20,0.818,0.14,Older,Existing Customer,1
53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,23836.25,1219,33297.0,1.129,1590.0,27,2.0,0.035,Middle-aged,Existing Customer,1
52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531.0,35,0.667,0.619,Middle-aged,Existing Customer,1
53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212.0,31,0.722,0.108,Middle-aged,Existing Customer,1
43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237.0,32,0.6,0.0,Middle-aged,Existing Customer,1
44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413.0,14,1.8,0.066,Middle-aged,Existing Customer,1
57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516.0,29,1.636,0.0,Older,Existing Customer,1
51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276.0,21,1.333,0.0,Middle-aged,Existing Customer,1
49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,23836.25,1953,29349.0,0.875,1564.0,35,2.182,0.062,Middle-aged,Existing Customer,1
45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465.0,34,0.619,0.0,Middle-aged,Existing Customer,1
53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286.0,29,0.933,0.765,Middle-aged,Existing Customer,1
45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312.0,20,1.222,0.963,Middle-aged,Existing Customer,1
64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673.0,32,0.882,0.524,Older,Existing Customer,1
45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313.0,30,0.304,0.347,Middle-aged,Existing Customer,1
53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609.0,42,0.68,0.45,Middle-aged,Existing Customer,1
56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158.0,19,0.727,0.232,Older,Existing Customer,1
47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836.0,18,0.385,0.299,Middle-aged,Attrited Customer,0
49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289.0,22,1.0,0.085,Middle-aged,Existing Customer,1
41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,23836.25,2053,32463.0,1.034,1487.0,26,0.733,0.059,Middle-aged,Existing Customer,1
53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259.0,33,0.5,0.43,Middle-aged,Existing Customer,1
44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298.0,15,1.5,0.62,Middle-aged,Existing Customer,1
44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226.0,34,0.789,0.0,Middle-aged,Existing Customer,1
43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566.0,37,0.542,0.111,Middle-aged,Existing Customer,1
53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,23836.25,931,33585.0,0.828,1022.0,21,1.1,0.027,Middle-aged,Existing Customer,1
44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235.0,30,0.667,0.169,Middle-aged,Existing Customer,1
62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951.0,44,1.095,0.0,Older,Existing Customer,1
54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,23836.25,1960,31831.0,0.618,1047.0,31,0.824,0.058,Middle-aged,Existing Customer,1
57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342.0,32,0.391,0.223,Older,Existing Customer,1
42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107.0,21,1.625,0.057,Middle-aged,Existing Customer,1
42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251.0,35,0.346,0.513,Middle-aged,Existing Customer,1
54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305.0,24,3.0,0.473,Middle-aged,Existing Customer,1
48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388.0,37,1.056,0.095,Middle-aged,Existing Customer,1
49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235.0,18,1.571,0.047,Middle-aged,Existing Customer,1
52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089.0,36,1.118,0.106,Middle-aged,Existing Customer,1
50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626.0,25,0.786,0.156,Middle-aged,Existing Customer,1
49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,23836.25,1196,22963.0,0.712,1111.0,24,1.0,0.05,Middle-aged,Existing Customer,1
53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553.0,38,1.0,0.355,Middle-aged,Existing Customer,1
50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,23836.25,1023,33493.0,1.004,1064.0,13,0.625,0.03,Middle-aged,Existing Customer,1
55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243.0,29,0.611,0.615,Middle-aged,Existing Customer,1
53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659.0,38,1.533,0.15,Middle-aged,Existing Customer,1
47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594.0,47,0.382,0.407,Middle-aged,Existing Customer,1
55,M,2,College,Single,$120K +,Silver,42,2,3,2,23836.25,1527,32989.0,0.526,1268.0,42,0.355,0.044,Middle-aged,Existing Customer,1
47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304.0,24,0.846,0.0,Middle-aged,Existing Customer,1
58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,23836.25,0,32090.0,0.567,1368.0,30,0.364,0.0,Older,Existing Customer,1
53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720.0,23,0.353,0.191,Middle-aged,Attrited Customer,0
52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521.0,29,1.417,0.096,Middle-aged,Existing Customer,1
50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,1137.0,30,0.765,0.176,Middle-aged,Existing Customer,1
42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978.0,16,0.778,0.83,Middle-aged,Existing Customer,1
43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221.0,16,2.2,0.412,Middle-aged,Existing Customer,1
57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565.0,28,1.545,0.086,Older,Existing Customer,1
52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578.0,34,0.7,0.678,Middle-aged,Existing Customer,1
47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493.0,32,1.0,0.246,Middle-aged,Existing Customer,1
44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,0.688,1178.0,27,0.929,0.067,Middle-aged,Existing Customer,1
53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,0.839,991.0,26,0.733,0.271,Middle-aged,Existing Customer,1
45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,9222.0,1.689,2560.0,42,1.211,0.114,Middle-aged,Existing Customer,1
63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,1657.0,29,1.231,0.395,Older,Existing Customer,1
39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,3688.0,0.939,1204.0,19,0.727,0.406,Middle-aged,Existing Customer,1
48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,8025.0,0.654,673.0,18,0.8,0.0,Middle-aged,Attrited Customer,0
51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,6709.0,0.649,1131.0,18,0.636,0.258,Middle-aged,Existing Customer,1
54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,12409.0,1.996,1576.0,25,1.5,0.169,Middle-aged,Existing Customer,1
59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,5207.0,0.397,1217.0,20,0.667,0.178,Older,Existing Customer,1
59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,0.71,530.0,10,1.0,0.0,Older,Attrited Customer,0
48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,0.76,739.0,16,0.455,0.0,Middle-aged,Attrited Customer,0
41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117,133.0,1.162,1617.0,31,2.875,0.941,Middle-aged,Existing Customer,1
55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,9380.0,1.317,1592.0,34,1.0,0.141,Middle-aged,Existing Customer,1
47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228,4121.0,0.728,1343.0,30,1.308,0.23,Middle-aged,Existing Customer,1
41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,8262.0,0.572,1303.0,39,0.625,0.118,Middle-aged,Existing Customer,1
40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,21617.0,1.047,1351.0,22,0.467,0.0,Middle-aged,Existing Customer,1
68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652,12208.0,1.255,1910.0,32,1.909,0.119,Older,Existing Customer,1
50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,18386.0,0.868,1298.0,22,0.571,0.0,Middle-aged,Existing Customer,1
47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,1540,865.0,0.469,1087.0,29,1.231,0.64,Middle-aged,Existing Customer,1
53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154.0,930,1224.0,2.121,1439.0,26,1.364,0.432,Middle-aged,Existing Customer,1
42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,0,2038.0,0.786,1238.0,28,0.75,0.0,Middle-aged,Existing Customer,1
48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,0,8135.0,1.373,1716.0,29,0.812,0.0,Middle-aged,Existing Customer,1
49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,618,8746.0,0.554,1099.0,27,0.8,0.066,Middle-aged,Existing Customer,1
44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,23836.25,0,32643.0,1.3,1058.0,24,2.429,0.0,Middle-aged,Existing Customer,1
43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954,1241.0,0.971,1285.0,29,0.706,0.612,Middle-aged,Existing Customer,1
56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024,1828.0,1.009,1651.0,28,1.0,0.359,Older,Existing Customer,1
59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224.0,1305,2919.0,0.852,1152.0,31,0.824,0.309,Older,Existing Customer,1
46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,2071,18388.0,1.248,1767.0,38,2.167,0.101,Middle-aged,Existing Customer,1
47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114,1368.0,0.508,1039.0,24,0.263,0.607,Middle-aged,Existing Customer,1
50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570,1495.0,1.077,1130.0,28,1.333,0.512,Middle-aged,Existing Customer,1
51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761,424.0,0.682,1645.0,30,0.429,0.806,Middle-aged,Existing Customer,1
47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,746,865.0,0.993,1413.0,29,0.706,0.463,Middle-aged,Existing Customer,1
58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,2173,649.0,1.456,1218.0,23,2.286,0.77,Older,Existing Customer,1
46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,23836.25,2517,30458.0,0.658,597.0,17,0.7,0.076,Middle-aged,Attrited Customer,0
